Date,Close/Last,Volume,Open,High,Low,Days
10/27/2023,207.30,"94,881,170.00",210.60,212.41,205.77,1033
10/26/2023,205.76,"115,112,600.00",211.32,214.80,204.88,1032
10/25/2023,212.42,"107,065,100.00",215.88,220.10,212.20,1031
10/24/2023,216.52,"118,231,100.00",216.50,222.05,214.11,1030
10/23/2023,212.08,"150,683,400.00",210.00,216.98,202.51,1029
10/20/2023,211.99,"138,010,100.00",217.01,218.86,210.42,1028
10/19/2023,220.11,"170,772,700.00",225.95,230.61,216.78,1027
10/18/2023,242.68,"125,147,800.00",252.70,254.63,242.08,1026
10/17/2023,254.85,"93,562,910.00",250.10,257.18,247.08,1025
10/16/2023,253.92,"88,917,180.00",250.05,255.40,248.48,1024
10/13/2023,251.12,"102,296,800.00",258.90,259.60,250.22,1023
10/12/2023,258.87,"111,508,100.00",262.92,265.41,256.63,1022
10/11/2023,262.99,"103,706,300.00",266.20,268.60,260.90,1021
10/10/2023,263.62,"122,656,000.00",257.75,268.94,257.65,1020
10/09/2023,259.67,"101,377,900.00",255.31,261.36,252.05,1019
10/06/2023,260.53,"118,121,800.00",253.98,261.65,250.65,1018
10/05/2023,260.05,"119,159,200.00",260.00,263.60,256.25,1017
10/04/2023,261.16,"129,721,600.00",248.14,261.86,247.60,1016
10/03/2023,246.53,"101,985,300.00",248.61,250.02,244.45,1015
10/02/2023,251.60,"123,810,400.00",244.81,254.28,242.62,1014
09/29/2023,250.22,"128,522,700.00",250.00,254.77,246.35,1013
09/28/2023,246.38,"117,058,900.00",240.02,247.55,238.65,1012
09/27/2023,240.50,"136,597,200.00",244.26,245.33,234.58,1011
09/26/2023,244.12,"101,993,600.00",242.98,249.55,241.66,1010
09/25/2023,246.99,"104,636,600.00",243.38,247.10,238.31,1009
09/22/2023,244.88,"127,524,100.00",257.40,257.79,244.48,1008
09/21/2023,255.70,"119,951,500.00",257.85,260.86,254.21,1007
09/20/2023,262.59,"122,514,600.00",267.04,273.93,262.46,1006
09/19/2023,266.50,"103,704,000.00",264.35,267.85,261.20,1005
09/18/2023,265.28,"101,543,300.00",271.16,271.44,263.76,1004
09/15/2023,274.39,"133,692,300.00",277.55,278.98,271.00,1003
09/14/2023,276.04,"107,709,800.00",271.32,276.71,270.42,1002
09/13/2023,271.30,"111,673,700.00",270.07,274.98,268.10,1001
09/12/2023,267.48,"135,999,900.00",270.76,278.39,266.60,1000
09/11/2023,273.58,"174,667,900.00",264.27,274.85,260.61,999
09/08/2023,248.50,"118,559,600.00",251.22,256.52,246.67,998
09/07/2023,251.49,"115,312,900.00",245.07,252.81,243.27,997
09/06/2023,251.92,"116,959,800.00",255.14,255.39,245.06,996
09/05/2023,256.49,"129,469,600.00",245.00,258.00,244.86,995
09/01/2023,245.01,"132,541,600.00",257.26,259.08,242.01,994
08/31/2023,258.08,"108,861,700.00",255.98,261.18,255.05,993
08/30/2023,256.90,"121,988,400.00",254.20,260.51,250.59,992
08/29/2023,257.18,"134,047,600.00",238.58,257.48,237.77,991
08/28/2023,238.82,"107,673,700.00",242.58,244.38,235.35,990
08/25/2023,238.59,"106,612,200.00",231.31,239.00,230.35,989
08/24/2023,230.04,"99,777,430.00",238.66,238.92,228.18,988
08/23/2023,236.86,"101,077,600.00",229.34,238.98,229.29,987
08/22/2023,233.19,"130,597,900.00",240.25,240.82,229.55,986
08/21/2023,231.28,"135,702,700.00",221.55,232.13,220.58,985
08/18/2023,215.49,"136,276,600.00",214.12,217.58,212.36,984
08/17/2023,219.22,"120,718,400.00",226.06,226.74,218.83,983
08/16/2023,225.60,"112,484,500.00",228.02,233.97,225.38,982
08/15/2023,232.96,"88,197,600.00",238.73,240.50,232.61,981
08/14/2023,239.76,"98,595,330.00",235.70,240.66,233.75,980
08/11/2023,242.65,"99,038,640.00",241.77,243.79,238.02,979
08/10/2023,245.34,"109,498,600.00",245.40,251.80,243.00,978
08/09/2023,242.19,"101,596,300.00",250.87,251.10,241.90,977
08/08/2023,249.70,"96,642,180.00",247.45,250.92,245.01,976
08/07/2023,251.45,"111,097,900.00",251.45,253.65,242.76,975
08/04/2023,253.86,"99,539,910.00",260.97,264.77,253.11,974
08/03/2023,259.32,"97,829,550.00",252.04,260.49,252.00,973
08/02/2023,254.11,"101,752,900.00",255.57,259.52,250.49,972
08/01/2023,261.07,"83,645,720.00",266.26,266.47,260.25,971
07/31/2023,267.43,"84,582,170.00",267.48,269.08,263.78,970
07/28/2023,266.44,"111,446,000.00",259.86,267.25,258.23,969
07/27/2023,255.71,"103,697,300.00",268.31,269.13,255.30,968
07/26/2023,264.35,"95,856,180.00",263.25,268.04,261.75,967
07/25/2023,265.28,"112,757,300.00",272.38,272.90,265.00,966
07/24/2023,269.06,"137,005,000.00",255.85,269.85,254.12,965
07/21/2023,260.02,"161,796,100.00",268.00,268.00,255.80,964
07/20/2023,262.90,"175,158,300.00",279.56,280.93,261.20,963
07/19/2023,291.26,"142,355,400.00",296.04,299.29,289.52,962
07/18/2023,293.34,"112,434,700.00",290.15,295.26,286.01,961
07/17/2023,290.38,"131,569,600.00",286.63,292.23,283.57,960
07/14/2023,281.38,"120,062,400.00",277.01,285.30,276.31,959
07/13/2023,277.90,"112,681,500.00",274.59,279.45,270.60,958
07/12/2023,271.99,"95,672,140.00",276.33,276.52,271.46,957
07/11/2023,269.79,"91,972,360.00",268.65,270.90,266.37,956
07/10/2023,269.61,"119,425,400.00",276.47,277.52,265.10,955
07/07/2023,274.43,"113,879,200.00",278.43,280.78,273.77,954
07/06/2023,276.54,"120,707,400.00",278.09,279.97,272.88,953
07/05/2023,282.48,"131,530,900.00",278.82,283.85,277.60,952
07/03/2023,279.82,"118,999,000.00",276.49,284.25,275.11,951
06/30/2023,261.77,"112,620,800.00",260.60,264.45,259.89,950
06/29/2023,257.50,"131,283,400.00",258.03,260.74,253.61,949
06/28/2023,256.24,"159,770,800.00",249.70,259.88,248.89,948
06/27/2023,250.21,"164,968,200.00",243.24,250.39,240.85,947
06/26/2023,241.05,"179,990,600.00",250.07,258.37,240.70,946
06/23/2023,256.60,"177,460,800.00",259.29,262.45,252.80,945
06/22/2023,264.61,"166,875,900.00",250.77,265.00,248.25,944
06/21/2023,259.46,"211,797,100.00",275.13,276.99,257.78,943
06/20/2023,274.45,"165,611,200.00",261.50,274.75,261.12,942
06/16/2023,260.54,"167,915,600.00",258.92,263.60,257.21,941
06/15/2023,255.90,"160,171,200.00",248.40,258.95,247.29,940
06/14/2023,256.79,"170,575,500.00",260.17,261.57,250.50,939
06/13/2023,258.71,"162,384,300.00",253.51,259.68,251.34,938
06/12/2023,249.83,"150,740,500.00",247.94,250.97,244.59,937
06/09/2023,244.40,"200,242,400.00",249.07,252.42,242.02,936
06/08/2023,234.86,"164,489,700.00",224.22,235.23,223.01,935
06/07/2023,224.57,"185,710,800.00",228.00,230.83,223.20,934
06/06/2023,221.31,"146,911,600.00",216.14,221.91,212.53,933
06/05/2023,217.61,"151,143,100.00",217.80,221.29,214.52,932
06/02/2023,213.97,"164,398,400.00",210.15,217.25,209.75,931
06/01/2023,207.52,"148,029,900.00",202.59,209.80,199.37,930
05/31/2023,203.93,"150,711,700.00",199.78,203.95,195.12,929
05/30/2023,201.16,"128,818,700.00",200.10,204.48,197.53,928
05/26/2023,193.17,"162,061,500.00",184.62,198.60,184.53,927
05/25/2023,184.47,"96,870,720.00",186.54,186.78,180.58,926
05/24/2023,182.90,"137,605,100.00",182.23,184.22,178.22,925
05/23/2023,185.77,"156,952,100.00",186.20,192.96,185.26,924
05/22/2023,188.87,"132,001,400.00",180.70,189.32,180.11,923
05/19/2023,180.14,"136,196,700.00",177.17,181.95,176.31,922
05/18/2023,176.89,"109,520,300.00",174.22,177.06,172.45,921
05/17/2023,173.86,"125,473,600.00",168.41,174.50,167.19,920
05/16/2023,166.52,"98,288,790.00",165.65,169.52,164.35,919
05/15/2023,166.35,"105,592,500.00",167.66,169.76,164.55,918
05/12/2023,167.98,"157,849,600.00",176.07,177.38,167.23,917
05/11/2023,172.08,"103,889,900.00",168.70,173.57,166.79,916
05/10/2023,168.54,"119,840,700.00",172.55,174.43,166.68,915
